text,label
Scientists discover new planet in habitable zone,1
Breaking: Alien invasion confirmed by government sources,0
NASA announces successful space mission to Mars,1
World leaders meet for emergency climate summit,1
SHOCKING: Secret government conspiracy exposed,0
Medical study shows benefits of regular exercise,1
FAKE: Celebrity death hoax spreads on social media,0
Stock market closes at record high,1
Scientists refute false health claims in viral article,1
BREAKING: Fake news article claims false facts,0
Local hospital opens new emergency care wing,1
Central bank announces interest rate decision,1
University researchers publish climate study,1
City council approves public transport funding,1
Election commission releases official voting schedule,1
Police report road closures after severe storm,1
Health officials recommend annual flu vaccination,1
Company reports quarterly earnings growth,1
Court issues ruling in environmental lawsuit,1
School district announces revised academic calendar,1
Researchers find link between sleep and memory,1
Government agency recalls contaminated food product,1
International team signs renewable energy agreement,1
New vaccine trial shows promising early results,1
Scientists detect gravitational waves from distant event,1
Experts warn residents about extreme heat conditions,1
Museum announces opening date for history exhibit,1
Farmers receive support after drought damage,1
Transportation department completes bridge inspection,1
Economic report shows unemployment rate declined,1
You will not believe what doctors are hiding,0
Miracle cure eliminates all diseases overnight,0
Secret leaked document proves moon landing was staged,0
Celebrity endorses magic pill that melts fat instantly,0
Government bans all smartphones starting tomorrow,0
One simple trick banks do not want you to know,0
Scientists are hiding the truth about drinking water,0
Viral post claims vaccine changes human DNA,0
Anonymous insider exposes global weather control machine,0
Breaking rumor says famous actor died again,0
Shocking video proves aliens run the government,0
This banned fruit cures cancer in three days,0
Hidden camera reveals fake election machines everywhere,0
Doctors hate this unbelievable home remedy,0
Secret society controls every news channel,0
Viral article claims 5G towers control thoughts,0
Unverified post says cash will become illegal tonight,0
Fake quote spreads online after political debate,0
Click here to discover the truth they erased,0
Hoax claims drinking bleach prevents infection,0
भारत सरकार ने नई शिक्षा नीति पर समीक्षा बैठक की,1
भारतीय रिजर्व बैंक ने ब्याज दरों में कोई बदलाव नहीं किया,1
मौसम विभाग ने अगले दो दिनों के लिए भारी बारिश की चेतावनी जारी की,1
स्वास्थ्य मंत्रालय ने टीकाकरण अभियान की नई तारीखें घोषित कीं,1
सुप्रीम कोर्ट ने पर्यावरण मामले में अंतरिम आदेश जारी किया,1
रेलवे ने त्योहारी सीजन के लिए अतिरिक्त ट्रेनें चलाने की घोषणा की,1
विश्वविद्यालय के शोधकर्ताओं ने जलवायु परिवर्तन पर नई रिपोर्ट प्रकाशित की,1
स्थानीय अस्पताल में आपातकालीन सेवा का नया विभाग शुरू हुआ,1
चुनाव आयोग ने मतदान केंद्रों की अंतिम सूची जारी की,1
नगर निगम ने सार्वजनिक परिवहन बजट को मंजूरी दी,1
कंपनी ने तिमाही नतीजों में मुनाफे में वृद्धि दर्ज की,1
वैज्ञानिकों ने चंद्रयान मिशन से मिले नए आंकड़ों का विश्लेषण जारी किया,1
कृषि विभाग ने सूखा प्रभावित किसानों के लिए सहायता पैकेज घोषित किया,1
पुलिस ने तूफान के बाद बंद सड़कों की जानकारी जारी की,1
अंतरराष्ट्रीय सम्मेलन में स्वच्छ ऊर्जा समझौते पर हस्ताक्षर हुए,1
चौंकाने वाला खुलासा सरकार कल से सभी मोबाइल फोन बंद करेगी,0
यह घरेलू उपाय तीन दिन में कैंसर को पूरी तरह ठीक कर देता है,0
गुप्त दस्तावेज साबित करते हैं कि चंद्रमा पर उतरना झूठ था,0
डॉक्टर नहीं चाहते कि आप यह चमत्कारी इलाज जानें,0
वायरल पोस्ट का दावा वैक्सीन इंसान का डीएनए बदल देती है,0
एक आसान तरीका जिससे बैंक आपका पैसा छुपा रहे हैं,0
अफवाह के अनुसार मशहूर अभिनेता की फिर से मौत हो गई,0
गुप्त मशीन मौसम को पूरी दुनिया में नियंत्रित कर रही है,0
यह प्रतिबंधित फल सभी बीमारियों को रातोंरात खत्म कर देता है,0
फर्जी वीडियो में दावा किया गया कि एलियन सरकार चला रहे हैं,0
छुपे कैमरे ने हर चुनाव मशीन को नकली साबित कर दिया,0
सनसनीखेज दावा 5G टावर लोगों के विचार नियंत्रित करते हैं,0
आज रात से नकद पैसा पूरी तरह गैरकानूनी हो जाएगा,0
यहां क्लिक करें और वह सच्चाई जानें जिसे उन्होंने मिटा दिया,0
अफवाह फैल रही है कि ब्लीच पीने से संक्रमण रुक जाता है,0
